Ki67+	SVZ_T_Cells	Total_T_Cells
3m.1	249.25	0.5	13.5
3m.2	203.25	0.333333333	7.5
3m.3	252.5	0	7.5
7m.1	139	1.25	18
7m.2	137.5	0.75	25.5
11m.1	151	0.25	23
11m.2	63	0	25.5
15m.1	92.25	0.5	34
15m.2	81.25	3.25	34
20m.1	64.75	1.5	39.5
20m.2	62.75	0.75	35.5
24m.1	64.25	1.833333333	46
24m.2	50.5	17.66666667	97.5
