"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"Ext2" 328 16 476 334 92 165 654 748
"Extl1" 0 0 0 0 0 0 1 1
"Extl2" 447 170 162 582 720 34 296 655
"Extl3" 134 152 86 75 94 33 41 62
"Eya1" 52 24 77 0 7 13 47 0
"Eya2" 0 82 0 0 0 49 231 1
"Eya3" 386 87 215 187 230 110 240 389
"Eya4" 27 32 2 0 23 36 10 6
"Ezh1" 144 176 83 74 234 7 434 160
"Ezh2" 2344 2414 3243 2855 1808 1902 2598 2671
"Ezr" 1789 1145 2465 2180 1217 537 1951 1213
"F10" 0 0 0 0 0 0 0 0
"F11" 0 0 0 0 0 0 0 0
"F11r" 0 1 0 0 0 0 0 0
"F12" 0 0 0 1 0 0 0 1
"F13a1" 0 0 2 0 0 1 0 0
"F13b" 0 1 0 0 0 0 0 0
"F2" 5 24 0 1 1 1 1 0
"F2r" 426 183 242 164 45 136 98 426
"F2rl1" 0 0 0 1 0 0 0 0
"F2rl2" 1 0 0 0 0 1 0 0
"F2rl3" 0 0 0 0 0 0 0 0
"F3" 347 197 209 630 390 42 273 299
"F420014N23Rik" 0 0 9 2 34 0 0 0
"F5" 0 0 0 0 2 0 0 0
"F630028O10Rik" 0 0 0 0 0 0 0 0
"F630042J09Rik" 0 0 0 104 0 0 0 0
"F630111L10Rik" 33 46 79 98 24 30 31 105
"F630206G17Rik" 0 0 1 1 0 0 0 0
"F7" 0 0 0 0 1 0 0 0
"F730035M05Rik" 0 0 0 0 0 0 0 0
"F730043M19Rik" 0 0 0 0 0 11 0 2
"F8" 0 0 0 0 0 6 0 0
"F830002L21Rik" 0 0 0 0 0 0 0 0
"F830016B08Rik" 1 0 0 1 0 3 0 0
"F830045P16Rik" 0 0 0 1 0 0 0 0
"F8a" 276 35 99 233 187 23 105 39
"F9" 0 0 0 0 0 0 0 0
"F930015N05Rik" 0 0 1 2 0 0 1 0
"Fa2h" 0 0 0 0 0 0 59 0
"Faah" 0 1 0 5 75 12 108 22
"Faap100" 237 124 298 175 337 75 109 273
"Faap20" 1410 1052 1714 1879 1375 834 1766 2453
"Faap24" 340 276 493 393 436 229 558 902
"Fabp1" 0 0 0 0 0 0 1 0
"Fabp12" 0 0 0 0 0 3 0 0
"Fabp2" 0 0 0 0 0 0 0 0
"Fabp3" 0 16 14 6 18 0 0 11
"Fabp4" 0 1 0 0 0 0 0 0
"Fabp5" 10107 5952 7299 8440 7552 4704 8664 9214
"Fabp6" 0 0 0 0 0 0 0 0
"Fabp7" 11072 13189 9975 27266 27203 10620 32693 26006
"Fabp9" 0 0 0 0 0 0 0 0
"Fadd" 121 68 107 57 109 100 120 26
"Fads1" 467 1124 650 338 501 515 187 441
"Fads2" 167 206 249 246 96 92 199 195
"Fads3" 75 0 45 0 1 7 4 0
"Fads6" 1 0 0 0 0 0 0 0
"Faf1" 1460 733 2159 841 406 462 1039 1170
"Faf2" 704 439 902 487 381 626 1114 687
"Fah" 123 19 43 0 74 10 42 250
"Fahd1" 507 76 417 591 611 199 834 789
"Fahd2a" 225 165 150 285 164 91 333 453
"Faim" 1519 1017 1417 1824 1600 722 1622 2401
"Faim2" 0 0 0 0 0 32 47 0
"Faiml" 0 2 0 0 4 0 3 3
"Fam101a" 0 6 1 1 0 6 0 0
"Fam101b" 87 112 182 1 34 0 0 46
"Fam102a" 0 23 32 26 109 29 131 282
"Fam102b" 297 60 132 95 91 64 19 143
"Fam103a1" 1601 956 1636 1350 1241 733 1045 1258
"Fam104a" 1140 711 791 1088 956 526 1030 1023
"Fam105a" 0 0 0 0 40 0 0 22
"Fam107a" 15 15 0 76 224 82 289 507
"Fam107b" 942 580 942 1367 204 212 752 687
"Fam109a" 139 85 198 68 17 27 151 12
"Fam109b" 7 0 0 1 3 16 18 0
"Fam110a" 717 222 1134 1003 565 347 839 1012
"Fam110b" 230 249 220 271 113 40 171 111
"Fam110c" 0 0 0 0 0 0 0 2
"Fam111a" 1071 519 701 981 707 654 1217 725
"Fam114a1" 0 30 0 0 95 38 24 0
"Fam114a2" 678 642 1660 1210 865 277 1033 404
"Fam117a" 34 0 127 33 81 1 116 167
"Fam117b" 401 161 102 361 154 92 3 114
"Fam118a" 890 188 171 438 104 99 286 326
"Fam118b" 2439 1224 1894 1679 1927 610 1639 1560
"Fam120a" 1121 1146 609 1588 634 705 837 909
"Fam120aos" 864 280 495 238 824 226 753 612
"Fam120b" 621 128 733 343 389 141 204 857
"Fam120c" 185 197 233 237 205 279 220 374
"Fam122a" 1314 797 1349 1053 710 570 739 1112
"Fam122b" 160 190 4 245 95 18 160 221
"Fam122c" 0 0 0 0 0 0 0 0
"Fam124a" 73 85 128 233 65 57 289 193
"Fam124b" 1 0 0 0 1 0 0 0
"Fam126a" 171 313 431 208 81 201 122 142
"Fam126b" 203 405 303 211 28 137 183 265
"Fam129a" 1 0 0 2 0 1 0 0
"Fam129b" 0 8 1 0 0 11 11 1
"Fam129c" 2 34 0 37 0 0 1 14
"Fam131a" 69 0 1 83 18 0 29 12
"Fam131b" 98 16 0 75 0 41 169 82
"Fam131c" 0 0 0 0 0 0 29 0
"Fam132a" 29 32 48 127 222 95 340 144
"Fam132b" 147 0 4 1 3 4 3 6
"Fam133b" 1014 865 1333 1196 813 492 1250 1174
"Fam134a" 53 298 433 173 148 143 105 301
"Fam134b" 49 67 15 1 16 49 115 1
"Fam134c" 93 15 128 136 32 3 35 150
"Fam135a" 381 374 318 395 170 337 452 639
"Fam135b" 0 0 0 1 0 0 0 31
"Fam136a" 2185 1528 1774 2031 2022 1098 2284 2707
"Fam13a" 14 27 114 31 62 21 125 0
"Fam13b" 161 141 167 117 55 23 94 101
"Fam13c" 307 96 106 47 248 203 347 283
"Fam149a" 50 70 131 52 46 15 158 0
"Fam149b" 750 320 543 743 373 358 834 645
"Fam150a" 0 0 0 0 1 1 0 0
"Fam150b" 0 0 13 0 0 0 0 0
"Fam151a" 0 0 0 0 0 0 0 1
"Fam151b" 293 161 185 194 123 57 173 155
"Fam155a" 2 0 0 34 0 0 0 0
"Fam159a" 59 0 26 0 0 0 0 0
"Fam159b" 38 0 0 26 0 0 25 0
"Fam160a1" 0 0 2 0 0 1 1 0
"Fam160a2" 160 239 124 268 164 244 239 172
"Fam160b1" 127 161 3 6 190 120 61 48
"Fam160b2" 77 24 15 90 133 26 82 180
"Fam161a" 53 0 0 109 22 2 0 0
"Fam161b" 134 53 260 0 23 53 7 1
"Fam162a" 3529 2520 2685 3561 3431 2032 4076 4035
"Fam162b" 0 0 0 0 0 0 0 1
"Fam163a" 0 0 2 0 1 0 0 1
"Fam163b" 0 2 0 0 0 0 0 0
"Fam166a" 0 0 0 23 0 0 0 0
"Fam166b" 0 0 0 0 0 0 0 0
"Fam167a" 0 41 19 1 0 60 3 9
"Fam167b" 0 0 0 1 0 0 0 0
"Fam168a" 178 336 348 425 416 353 156 358
"Fam168b" 1737 948 1044 1174 868 745 952 698
"Fam169a" 13 2 140 0 99 71 115 53
"Fam169b" 0 1 0 0 0 0 1 0
"Fam170a" 0 1 0 0 0 0 0 0
"Fam170b" 0 0 0 0 0 0 0 0
"Fam171a1" 11 47 231 52 0 107 203 160
"Fam171a2" 1 4 5 1 3 6 24 5
"Fam171b" 1233 1203 1670 1480 1503 1023 2031 1475
"Fam172a" 593 525 750 595 980 536 1282 683
"Fam173a" 1117 609 967 751 643 657 1210 1078
"Fam173b" 206 204 191 219 257 153 152 553
"Fam174a" 393 303 284 470 446 197 336 683
"Fam174b" 229 165 0 156 216 74 297 801
"Fam175a" 668 430 705 509 865 402 642 850
"Fam175b" 203 574 692 1268 643 149 694 225
"Fam177a" 0 0 0 0 0 0 0 0
"Fam178a" 431 508 353 285 303 401 338 299
"Fam178b" 0 0 0 0 0 0 0 2
"Fam179a" 0 1 0 0 0 0 0 0
"Fam179b" 62 231 292 241 89 211 124 270
"Fam180a" 0 0 1 0 0 1 0 0
"Fam181a" 30 39 0 0 101 18 70 102
"Fam181b" 326 320 233 536 565 509 1203 1459
"Fam183b" 8 0 27 0 14 7 17 34
"Fam184a" 225 123 10 45 1 0 78 29
"Fam184b" 0 0 0 1 1 0 28 0
"Fam185a" 75 2 25 297 0 128 50 65
"Fam186b" 5 12 0 0 0 0 0 0
"Fam187a" 0 0 0 0 0 0 0 0
"Fam187b" 0 0 1 0 0 0 5 0
"Fam188a" 747 396 891 417 300 490 769 447
"Fam188b" 280 140 221 130 82 97 62 288
"Fam189a1" 0 0 1 0 3 1 0 0
"Fam189a2" 0 30 1 20 0 19 6 120
"Fam189b" 43 56 0 48 21 8 112 110
"Fam192a" 2021 848 2156 1700 1304 1006 2121 2567
"Fam193a" 213 92 32 325 90 150 120 243
"Fam193b" 43 133 79 260 113 104 100 400
"Fam195a" 169 101 192 250 422 167 460 352
"Fam195b" 2932 1515 2745 3539 2347 1421 2788 3530
"Fam196a" 56 65 66 22 50 96 32 29
"Fam196b" 0 27 0 0 0 0 0 0
"Fam198a" 0 0 0 2 0 44 1 0
"Fam198b" 0 0 0 0 0 1 0 0
"Fam199x" 320 160 168 216 96 213 333 195
"Fam19a1" 3 3 0 0 0 1 0 0
"Fam19a2" 0 0 4 0 0 1 1 0
"Fam19a3" 0 0 0 0 0 0 0 0
"Fam19a4" 0 0 0 0 0 0 0 0
"Fam19a5" 41 64 0 2 36 1 56 78
"Fam204a" 1250 629 1034 1035 873 551 1224 1308
"Fam205a1" 0 0 0 0 0 0 0 0
"Fam205a2" 0 0 0 0 0 0 1 0
"Fam205c" 36 0 57 0 21 13 0 44
"Fam206a" 164 125 256 385 229 102 483 348
"Fam207a" 529 413 303 136 296 170 102 157
"Fam208a" 501 545 848 790 305 352 418 484
"Fam208b" 511 303 837 275 274 339 30 512
"Fam209" 0 0 0 0 0 0 0 0
"Fam20a" 0 0 0 0 0 6 1 0
"Fam20b" 378 248 217 134 161 92 26 174
"Fam20c" 79 93 75 0 0 0 0 1
"Fam21" 681 143 381 562 275 296 241 92
"Fam210a" 577 204 485 329 309 370 179 475
"Fam210b" 2174 1336 2648 1306 1545 1093 2302 2012
"Fam212a" 0 0 0 0 0 0 0 0
"Fam212b" 16 17 77 105 124 56 0 2
"Fam213a" 853 385 1009 379 789 520 1355 1178
"Fam213b" 157 28 42 136 68 18 94 92
"Fam214a" 247 171 255 226 173 179 222 114
"Fam214b" 93 11 50 21 81 40 14 60
"Fam216a" 1482 702 1236 2316 1941 937 2328 2225
"Fam216b" 0 0 2 0 0 0 0 0
"Fam217a" 0 0 2 0 0 0 24 0
"Fam217b" 16 15 94 0 134 32 75 43
"Fam219a" 69 0 14 0 0 1 8 0
"Fam219aos" 5 0 0 1 0 0 1 0
"Fam219b" 527 151 577 332 394 107 296 306
"Fam220a" 200 197 197 260 263 148 229 228
"Fam221a" 287 141 392 56 23 40 96 513
"Fam221b" 0 0 0 0 0 0 0 0
"Fam222a" 16 52 8 17 15 63 2 0
"Fam222b" 95 128 128 42 47 92 260 251
"Fam227a" 40 63 17 58 17 28 55 82
"Fam227b" 1 0 0 0 1 0 9 0
"Fam228a" 0 9 49 21 0 4 14 47
"Fam228b" 65 60 20 48 36 60 95 82
"Fam229a" 0 0 0 0 0 0 0 0
"Fam229b" 362 281 335 465 443 318 930 542
"Fam24a" 0 0 0 0 0 0 0 0
"Fam25c" 0 0 0 0 0 0 0 0
"Fam26d" 0 0 0 0 0 1 0 0
"Fam26e" 0 14 70 110 1 0 0 0
"Fam26f" 23 0 0 0 0 20 0 2
"Fam32a" 2085 1291 1964 2555 2203 1022 2676 2578
"Fam35a" 101 15 185 87 26 113 123 44
"Fam3a" 210 91 171 20 13 69 59 75
"Fam3b" 0 0 0 0 0 0 0 0
"Fam3c" 1000 541 796 1198 960 518 1634 978
"Fam43a" 0 0 0 1 0 0 0 0
"Fam43b" 0 0 0 0 0 0 0 0
"Fam45a" 1101 500 984 1030 564 276 1793 1718
"Fam46a" 0 98 0 0 0 1 0 17
"Fam46b" 0 0 6 0 0 0 2 0
"Fam46c" 0 41 0 0 0 0 6 0
"Fam46d" 0 0 0 0 1 0 25 0
"Fam47c" 0 0 0 0 0 0 1 0
"Fam47e" 0 0 0 0 0 0 12 0
"Fam49a" 62 18 25 164 0 1 1 63
"Fam49b" 1102 387 638 899 692 322 712 291
"Fam50a" 933 737 1269 788 974 493 1389 1230
"Fam50b" 0 0 0 0 0 0 0 0
"Fam53a" 155 222 402 107 157 152 314 439
"Fam53b" 274 201 261 250 98 102 316 189
"Fam53c" 508 360 248 371 86 63 477 100
"Fam57a" 5 52 79 125 60 16 36 127
"Fam57b" 142 143 13 82 12 45 6 23
"Fam58b" 1182 413 790 1119 853 275 1049 783
"Fam60a" 587 406 469 519 316 178 219 414
"Fam63a" 620 171 389 397 411 236 194 568
"Fam63b" 270 161 262 101 87 155 329 75
"Fam64a" 4105 1503 4861 5050 3200 2023 4753 5100
"Fam65a" 60 63 1 55 47 89 53 1
"Fam65b" 31 6 130 1 0 0 0 0
"Fam65c" 0 2 1 0 0 0 0 0
"Fam69a" 413 199 757 427 431 181 352 480
"Fam69b" 491 76 577 406 220 73 285 261
"Fam69c" 243 74 2 466 50 20 101 129
"Fam71a" 0 0 2 0 0 0 0 0
"Fam71b" 1 0 1 1 0 0 0 0
"Fam71d" 1 0 1 0 53 0 39 0
"Fam71e1" 34 41 52 82 38 7 59 58
"Fam71e2" 0 0 1 0 0 0 0 0
"Fam71f1" 0 0 0 0 0 0 0 0
"Fam71f2" 55 0 2 45 0 0 0 104
"Fam72a" 531 112 394 272 270 192 146 226
"Fam73a" 187 208 445 48 102 87 121 141
"Fam73b" 32 102 67 1 0 5 36 1
"Fam76a" 582 120 426 493 361 247 355 356
"Fam76b" 1137 522 514 198 267 347 320 490
"Fam78a" 0 0 0 1 0 1 0 0
"Fam78b" 2 39 108 0 1 0 2 0
"Fam81a" 46 67 7 158 34 29 267 7
"Fam83a" 43 0 11 2 0 40 0 11
"Fam83b" 1 0 0 0 0 1 0 0
"Fam83c" 1 0 1 0 0 0 0 0
"Fam83d" 761 155 1100 1264 519 264 685 978
"Fam83e" 0 1 1 0 0 0 0 0
"Fam83f" 0 0 0 0 43 2 0 0
"Fam83g" 0 0 0 2 0 0 0 1
"Fam83h" 1 0 0 0 0 0 1 53
"Fam84a" 5 0 1 5 0 0 1 1
"Fam84b" 2 7 0 39 0 0 2 0
"Fam89a" 0 27 0 1 0 0 0 0
"Fam89b" 2350 1180 2379 1793 1416 322 1839 1724
"Fam8a1" 25 0 10 28 7 0 40 32
"Fam90a1a" 1 0 0 0 0 0 0 0
"Fam92a" 2921 1772 2034 2575 2201 1151 2776 2907
"Fam92b" 37 1 0 0 0 0 0 0
"Fam96a" 2499 1835 2204 2965 3224 1058 2766 3530
"Fam96b" 2015 1116 1824 1895 1535 633 1657 1408
"Fam98a" 148 208 183 235 346 257 237 364
"Fam98b" 829 868 697 769 839 580 926 701
"Fam98c" 69 10 51 17 16 18 13 0
"Fan1" 0 88 244 0 17 29 182 1
"Fanca" 295 47 37 236 48 34 42 11
"Fancb" 611 408 230 265 87 232 275 258
"Fancc" 202 133 164 204 139 67 9 318
"Fancd2" 445 144 354 272 240 239 196 56
"Fancd2os" 87 79 23 10 17 26 27 15
"Fance" 179 64 156 237 166 15 291 145
"Fancf" 249 92 201 185 292 36 265 94
"Fancg" 292 124 283 509 127 10 260 134
"Fanci" 110 83 197 135 33 68 125 62
"Fancl" 1053 481 944 815 339 284 849 794
"Fancm" 228 243 193 76 65 36 281 196
"Fank1" 0 0 0 6 0 0 0 0
"Fap" 0 1 0 2 1 0 0 0
"Far1" 929 949 705 570 740 478 1102 1021
"Far1os" 0 0 0 9 0 0 7 0
"Far2" 0 117 51 1 32 31 1 37
"Farp1" 0 7 49 12 68 65 18 55
"Farp2" 0 12 0 0 0 9 195 48
"Fars2" 581 389 963 392 666 447 1338 1301
"Farsa" 1333 645 1234 1247 793 501 1299 647
"Farsb" 1856 912 1952 1409 1514 900 2497 1909
"Fas" 0 0 0 81 0 0 1 0
"Fasl" 0 0 0 0 0 0 0 0
"Fasn" 734 819 677 839 564 535 423 884
"Fastk" 774 179 500 406 392 217 338 438
"Fastkd1" 19 33 9 59 36 216 106 0
"Fastkd2" 925 520 636 794 181 294 649 408
"Fastkd3" 535 289 537 457 505 300 440 260
"Fastkd5" 48 59 447 22 153 76 165 73
"Fat1" 117 362 73 193 179 219 160 382
"Fat2" 4 0 0 0 2 1 0 0
"Fat3" 34 6 7 1 7 1 1 6
"Fat4" 64 2 3 1 0 28 31 0
"Fate1" 0 0 0 0 0 0 0 0
"Fau" 2864 2185 2547 2769 2702 1469 2760 2794
"Faxc" 213 185 218 281 69 87 155 101
"Fbf1" 90 32 105 253 99 13 112 101
"Fbl" 745 722 804 863 559 549 982 444
"Fblim1" 0 0 0 0 4 1 0 0
"Fbll1" 22 9 4 30 0 4 5 14
"Fbln1" 1018 1017 968 762 335 436 692 755
"Fbln2" 254 273 196 102 197 211 192 188
"Fbln5" 0 0 1 0 0 1 1 0
"Fbln7" 19 46 0 4 52 185 133 166
"Fbn1" 5 4 0 0 2 0 2 1
"Fbn2" 1 1 0 2 1 0 0 2
"Fbp1" 0 0 0 0 0 0 47 0
"Fbp2" 0 0 0 1 0 0 0 0
"Fbrs" 16 5 3 69 38 25 21 8
"Fbrsl1" 327 351 450 428 326 260 281 354
"Fbxl12" 79 135 14 94 125 78 96 85
"Fbxl12os" 177 57 11 19 69 54 67 95
"Fbxl13" 0 0 0 0 0 0 0 0
"Fbxl14" 128 150 66 180 86 75 71 208
"Fbxl15" 74 66 272 158 71 68 207 76
"Fbxl16" 28 54 46 44 27 26 2 58
"Fbxl17" 107 159 12 1 0 83 109 114
"Fbxl18" 2 28 0 154 30 23 78 25
"Fbxl19" 6 8 31 86 8 19 40 6
"Fbxl2" 234 36 76 141 36 29 180 1
"Fbxl20" 860 314 859 240 517 111 275 120
"Fbxl21" 0 0 0 0 0 0 0 0
"Fbxl22" 35 31 0 27 2 0 7 0
"Fbxl3" 434 267 365 434 322 413 218 234
"Fbxl4" 623 229 446 269 402 18 454 220
"Fbxl5" 1596 984 1573 1148 1029 861 2049 636
"Fbxl6" 459 141 518 577 247 155 413 371
"Fbxl7" 0 48 2 0 0 0 11 0
"Fbxl8" 0 0 0 0 1 0 0 1
"Fbxo10" 1 23 32 0 19 18 4 1
"Fbxo11" 717 603 469 793 635 326 208 332
"Fbxo15" 0 1 0 0 0 0 62 0
"Fbxo16" 43 52 109 40 53 24 94 101
"Fbxo17" 0 0 30 79 0 40 89 0
"Fbxo18" 277 72 292 78 33 239 608 225
"Fbxo2" 21 7 58 1 6 34 130 126
"Fbxo21" 549 312 609 198 406 47 317 290
"Fbxo22" 1198 520 804 547 774 478 853 563
"Fbxo24" 0 0 0 0 0 0 0 0
"Fbxo25" 680 232 526 747 338 96 335 645
"Fbxo27" 96 0 0 75 1 0 0 80
"Fbxo28" 575 573 773 729 362 175 427 393
"Fbxo3" 796 680 1387 984 886 676 815 907
"Fbxo30" 487 343 690 754 252 391 463 380
"Fbxo31" 185 92 590 63 168 44 202 84
"Fbxo32" 15 66 189 23 38 1 0 75
"Fbxo33" 59 397 267 114 133 40 141 144
"Fbxo34" 110 34 225 97 20 154 458 0
"Fbxo36" 450 267 467 452 379 373 886 562
"Fbxo38" 463 287 117 350 196 239 257 291
"Fbxo39" 0 0 0 1 0 0 0 0
"Fbxo4" 159 85 59 171 418 48 228 249
"Fbxo40" 0 0 0 0 0 1 0 1
"Fbxo41" 3 0 0 3 41 0 1 0
"Fbxo42" 259 45 238 146 17 129 94 56
"Fbxo43" 0 0 0 0 0 0 0 0
"Fbxo44" 1125 503 1260 998 833 424 586 1470
"Fbxo45" 372 545 304 328 369 557 312 531
"Fbxo46" 9 5 30 7 7 9 9 6
"Fbxo47" 46 6 38 0 3 1 0 0
"Fbxo48" 71 66 2 1 30 43 182 33
"Fbxo5" 2780 1134 3024 3291 2054 957 2177 4191
"Fbxo6" 175 170 206 205 78 119 198 119
"Fbxo7" 273 197 282 204 422 163 535 305
"Fbxo8" 835 226 404 194 312 309 1164 597
"Fbxo9" 635 287 363 597 185 104 758 372
"Fbxw10" 0 0 0 0 1 14 0 0
"Fbxw11" 393 352 277 291 351 395 226 255
"Fbxw13" 0 0 0 0 0 0 0 0
"Fbxw14" 1 0 0 0 0 0 0 1
"Fbxw15" 0 0 0 0 1 0 0 0
"Fbxw16" 1 0 0 0 0 0 0 0
"Fbxw17" 511 64 142 96 201 46 208 194
"Fbxw18" 0 0 0 0 0 1 0 0
"Fbxw19" 0 0 0 1 1 0 0 0
"Fbxw2" 1666 574 651 1198 530 346 2193 1111
"Fbxw20" 0 0 0 0 0 0 0 0
"Fbxw21" 0 0 0 0 0 0 0 0
"Fbxw22" 0 0 0 0 0 0 0 0
"Fbxw24" 0 2 0 0 0 0 0 0
"Fbxw26" 0 1 0 0 0 0 0 0
"Fbxw27" 0 0 0 0 0 0 1 0
"Fbxw28" 1 0 0 0 0 1 0 0
"Fbxw4" 35 12 4 0 54 11 0 66
"Fbxw5" 1244 598 1042 944 675 215 920 549
"Fbxw7" 651 847 830 740 795 359 677 1025
"Fbxw8" 114 27 176 8 153 36 75 66
"Fbxw9" 265 169 56 214 1 113 177 189
"Fcamr" 0 0 0 0 0 0 0 0
"Fcer1a" 0 0 1 0 0 0 0 0
"Fcer1g" 0 0 0 0 0 0 0 0
"Fcer2a" 24 12 1 0 0 0 0 0
"Fcf1" 2867 1641 2341 2838 3107 1166 2795 2934
"Fcgbp" 1 0 2 0 0 0 0 3
"Fcgr1" 0 0 1 0 0 0 0 0
"Fcgr2b" 0 0 0 2 0 0 0 0
"Fcgr3" 1 0 0 0 0 0 0 0
"Fcgr4" 0 0 0 0 0 0 0 1
"Fcgrt" 0 1 78 0 0 0 241 102
"Fcho1" 28 2 58 98 0 9 80 0
"Fcho2" 442 243 657 165 288 160 199 550
"Fchsd1" 1 8 0 5 2 1 65 3
"Fchsd2" 173 333 81 322 189 387 179 173
"Fcmr" 0 0 0 0 0 0 0 0
"Fcna" 0 0 0 0 2 0 0 2
"Fcnb" 0 0 0 0 0 0 0 0
"Fcrl1" 0 0 0 0 0 0 0 0
"Fcrl5" 1 1 0 1 0 0 0 0
"Fcrl6" 0 0 1 0 0 0 0 0
"Fcrla" 0 0 0 0 0 0 0 0
"Fcrlb" 0 0 0 1 0 0 3 0
"Fcrls" 0 0 0 0 0 0 0 0
"Fdft1" 4235 2693 4609 5722 2637 1652 3171 2769
"Fdps" 3935 2811 5034 3440 2352 1761 2462 2848
"Fdx1" 877 360 635 544 841 359 1107 1199
"Fdx1l" 44 19 25 59 24 8 66 56
"Fdxacb1" 354 67 127 323 254 159 85 265
"Fdxr" 244 59 130 245 466 82 247 134
"Fech" 660 241 817 472 393 197 418 641
"Fem1a" 268 260 281 386 146 157 178 9
"Fem1b" 411 575 660 542 215 314 217 256
"Fem1c" 530 414 688 968 435 27 257 506
"Fen1" 2727 1095 2279 1686 966 626 1639 1001
"Fendrr" 2 0 0 0 0 0 0 0
"Fer" 1020 204 526 458 485 313 742 530
"Fer1l4" 0 2 0 1 0 0 0 1
"Fer1l5" 15 2 1 3 1 0 3 20
"Ferd3l" 0 0 0 0 0 0 0 0
"Fermt1" 1 0 0 1 1 0 0 1
"Fermt2" 443 569 454 969 971 438 1286 1328
"Fermt3" 0 0 23 0 9 0 7 0
"Fes" 0 12 0 0 0 0 1 0
"Fetub" 0 0 1 0 0 0 0 0
"Fev" 0 0 0 0 0 0 0 0
"Fez1" 4566 1929 4994 3976 3565 1494 4031 5060
"Fez2" 261 26 36 102 234 141 379 164
"Fezf1" 0 1 0 0 0 0 1 0
"Fezf2" 0 4 0 1 28 4 416 138
"Ffar1" 0 0 0 0 0 0 1 0
"Ffar2" 3 0 1 0 0 0 1 0
"Ffar3" 0 0 0 0 0 0 0 0
"Ffar4" 0 0 0 0 0 0 0 0
"Fga" 51 0 1 0 0 2 0 4
"Fgb" 0 0 0 0 0 0 0 0
"Fgd1" 4 37 181 3 1 73 1 136
"Fgd2" 1 1 1 0 0 0 0 0
"Fgd3" 3 46 0 9 1 0 0 0
"Fgd4" 610 247 568 573 584 186 655 552
"Fgd5" 1 0 0 0 0 0 1 0
"Fgd6" 3 94 1 14 85 13 45 146
"Fgf1" 0 0 22 0 58 0 0 0
"Fgf10" 0 0 1 1 0 0 0 0
"Fgf11" 3 111 77 3 8 8 3 43
"Fgf12" 248 189 94 582 314 94 438 443
"Fgf13" 538 143 451 168 162 131 247 274
"Fgf14" 1 1 0 1 9 23 0 205
"Fgf15" 0 0 0 0 0 0 0 0
"Fgf16" 0 0 0 0 0 0 0 0
"Fgf17" 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0 0 0 1 0
"Fgf2" 0 0 0 21 0 0 0 0
"Fgf20" 0 0 0 0 0 1 0 0
"Fgf21" 0 0 0 0 0 0 0 43
"Fgf22" 0 0 0 0 0 0 0 0
"Fgf23" 0 0 0 24 0 0 1 0
"Fgf3" 0 0 0 0 0 0 1 1
"Fgf4" 0 0 0 0 0 0 0 0
"Fgf5" 0 0 0 0 0 0 0 0
"Fgf6" 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0 0 0 0 0
"Fgf8" 0 0 1 0 0 0 0 0
"Fgf9" 25 41 0 0 0 0 0 0
"Fgfbp1" 0 0 0 0 0 0 0 0
"Fgfbp3" 217 360 281 656 246 70 133 364
"Fgfr1" 76 43 95 108 119 56 133 310
"Fgfr1op" 552 399 365 457 395 284 502 379
"Fgfr1op2" 1215 753 1562 1456 1237 707 1601 1670
"Fgfr2" 4 67 46 47 1 88 245 87
"Fgfr3" 120 294 155 224 309 294 283 318
"Fgfr4" 0 0 1 5 1 0 0 0
"Fgfrl1" 9 110 87 316 313 85 256 118
"Fgg" 0 0 0 0 0 0 0 0
"Fggy" 84 34 78 1 29 2 68 144
"Fgl1" 43 0 0 39 23 0 0 123
"Fgl2" 0 0 0 0 0 1 0 0
"Fgr" 0 0 1 1 0 0 0 1
"Fh1" 1290 946 1231 1646 1351 732 2255 2093
"Fhad1" 0 49 47 96 60 30 167 141
"Fhad1os1" 0 0 0 0 0 0 0 0
"Fhdc1" 0 9 1 0 0 3 0 0
"Fhit" 86 340 145 78 266 122 127 159
"Fhitos" 0 0 0 0 0 0 0 0
"Fhl1" 545 294 512 298 505 527 512 1093
"Fhl2" 0 50 4 151 0 0 47 88
"Fhl3" 0 1 2 1 1 3 0 0
"Fhl4" 0 133 98 101 1 4 199 0
"Fhl5" 0 0 0 0 0 0 0 0
"Fhod1" 40 13 12 15 0 18 5 24
"Fhod3" 78 20 77 68 26 7 2 2
"Fibcd1" 0 0 0 0 0 0 9 0
"Fibin" 0 2 0 0 0 0 0 0
"Fibp" 1127 366 1255 1032 1002 411 1103 856
"Ficd" 1 45 1 0 3 2 1 1
"Fig4" 127 51 365 337 21 74 270 469
"Figf" 2 1 2 3 0 0 1 33
"Figla" 0 0 0 0 0 0 0 1
"Fign" 33 14 4 0 0 2 74 49
"Fignl1" 3369 1501 2239 2540 2325 569 3042 1093
"Fignl2" 0 0 0 0 0 0 3 2
"Filip1" 0 0 0 0 0 1 0 0
"Filip1l" 169 8 135 165 26 8 0 217
"Fip1l1" 624 622 722 1111 664 564 1214 982
"Firre" 110 200 69 12 314 25 142 92
"Fis1" 3221 1777 2732 3551 2644 1669 3513 2919
"Fitm1" 0 0 0 0 0 0 0 0
