"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"1700003H04Rik" 0 0 0 0 2 0 0 0
"1700003I22Rik" 0 0 0 0 0 0 0 0
"1700003L19Rik" 0 0 1 0 0 0 0 0
"1700003M02Rik" 0 0 0 0 0 0 0 0
"1700003M07Rik" 0 0 0 0 30 0 107 86
"1700003P14Rik" 0 0 0 0 1 0 0 0
"1700006A11Rik" 1 0 0 0 0 0 0 2
"1700006E09Rik" 0 0 0 1 0 0 0 0
"1700006F04Rik" 0 0 0 0 0 0 0 0
"1700006H21Rik" 0 0 0 0 0 0 0 0
"1700007B14Rik" 0 0 1 0 0 0 1 0
"1700007F19Rik" 0 0 0 0 0 0 0 0
"1700007G11Rik" 32 0 0 0 0 0 0 0
"1700007J10Rik" 0 0 1 0 0 0 0 0
"1700007K09Rik" 0 0 0 0 0 0 0 0
"1700007K13Rik" 0 0 0 0 0 0 0 1
"1700007L15Rik" 56 44 78 118 53 18 120 155
"1700007P06Rik" 0 0 0 0 0 0 0 1
"1700008C04Rik" 0 0 0 0 0 0 0 0
"1700008J07Rik" 145 52 55 90 142 20 126 39
"1700008K24Rik" 0 0 0 0 0 0 0 0
"1700008O03Rik" 2 1 11 8 30 1 0 1
"1700008P02Rik" 0 0 0 0 0 0 0 0
"1700009C05Rik" 0 0 0 0 0 0 0 0
"1700009J07Rik" 0 0 0 0 0 0 1 0
"1700009N14Rik" 0 0 0 1 0 0 0 0
"1700010B08Rik" 1 0 0 0 0 0 0 0
"1700010D01Rik" 0 0 0 0 0 0 0 0
"1700010I02Rik" 0 0 0 0 0 0 0 0
"1700010I14Rik" 31 0 84 3 1 0 6 0
"1700010J16Rik" 0 0 1 0 0 0 2 0
"1700010K23Rik" 0 0 0 0 0 0 0 0
"1700011A15Rik" 0 0 0 0 0 0 0 0
"1700011B04Rik" 1 0 0 0 0 0 0 0
"1700011C11Rik" 0 0 0 0 0 0 0 0
"1700011E24Rik" 1 0 0 0 0 3 1 0
"1700011H14Rik" 0 0 0 0 34 0 0 0
"1700011I03Rik" 0 0 0 15 0 0 0 29
"1700011L22Rik" 0 0 0 0 0 0 0 0
"1700011M02Rik" 0 0 0 0 0 0 0 0
"1700012A03Rik" 1 0 0 0 0 0 0 0
"1700012B07Rik" 0 0 0 0 0 0 0 1
"1700012B09Rik" 0 0 0 0 0 0 0 0
"1700012C14Rik" 25 0 0 12 13 0 5 15
"1700012D01Rik" 3 0 35 0 32 20 93 0
"1700012D14Rik" 43 27 75 9 23 43 37 36
"1700012D16Rik" 0 0 0 0 0 0 0 0
"1700012H19Rik" 0 0 1 0 0 0 0 0
"1700012I11Rik" 0 0 0 0 0 0 0 0
"1700012L04Rik" 0 0 0 0 0 0 0 0
