Exp2.Old.Bst2.neg_1 Exp2.Old.Bst2.neg_2 Exp2.Old.Bst2.neg_3 Exp2.Old.Bst2.neg_4 Exp2.Old.Bst2.pos_1 Exp2.Old.Bst2.pos_2 Exp2.Old.Bst2.pos_3 Exp2.Old.Bst2.pos_4
0610005C13Rik 0 0 0 0.310106944244056 1.7090177790761 0.44942841366665 3.84931602466836 0.831190272614025
0610007P14Rik 122.82096337471 130.843653190444 133.109147624506 122.366237496526 136.554606807286 131.064703359718 144.063819381968 139.227527081606
0610009B22Rik 181.63528135302 170.671989496498 158.465173478934 161.606090364649 217.211502020126 155.611902967971 212.761138401971 201.129226570195
0610009L18Rik 13.8464409133272 7.92285837921926 8.9460003135687 3.37260088635054 7.22812366013122 6.51707502596422 20.8049623459297 26.0233723477541
0610009O20Rik 5.36490616514235 6.74781522717519 3.31125744759457 10.3484648036984 3.27917193938645 7.55129471082501 8.95014012125052 8.81670214295243
0610010F05Rik 30.1471770160099 18.9232462330421 36.4281092252212 25.1920319890552 20.662465275672 23.8731162575508 20.9592468183754 8.06856876227354
0610010K14Rik 272.063751044059 286.621812277056 215.126872614403 310.783201556202 265.213477916785 291.803580873443 270.583727883435 356.67621838474
0610011F06Rik 48.2118909898707 66.9839613478221 72.7617447667913 47.8363859997091 50.4402583969981 98.862059360423 61.8719407782575 84.4677897752867
0610012G03Rik 98.2755301207088 114.807768293633 109.405676421484 86.6301984130322 116.595056140141 106.382241378821 102.494908262549 100.515822715679
0610030E20Rik 6.71132782242675 7.67959542233266 8.66366269037935 9.92987998881788 12.3678206503906 4.49777559607349 13.1159171996339 6.2753610007929
0610037L13Rik 144.835872024574 145.532701143058 112.855744224113 136.6746871605 157.148831051877 138.933941098595 159.684817493747 132.556359723455
0610039H22Rik 1.78910829491967 3.272944762838 1.30379529398736 1.42989037578834 6.27498263084516 2.07229594575609 2.2589684725588 2.67119504048288
0610040B10Rik 23.5608281281254 32.5806774118873 6.2926979478398 29.8516697202934 21.5478658311845 1.91007075808326 4.46170721041105 15.0294313839027
0610043K17Rik 2.24543223502763 0 0 0 0 1.35992092808517 2.16010161384302 0
